Model,Activation,Optimizer,Sequence Length,Grad Clipping,Accuracy,F1,Epoch Time (s),,,,,
LSTM,ReLU,SGD,100,Yes,0.51,0.1959,30.2,,,,,
LSTM,ReLU,RMSProp,25,No,0.7196,0.7323,11,,,,,
LSTM,ReLU,RMSProp,25,Yes,0.7184,0.7362,11,,,,,
LSTM,ReLU,RMSProp,50,No,0.7654,0.7596,17.8,,,,,
LSTM,ReLU,RMSProp,50,Yes,0.7643,0.7573,18.4,,,,,
LSTM,ReLU,RMSProp,100,No,0.7449,0.6818,31.6,,,,,
LSTM,ReLU,RMSProp,100,Yes,0.819,0.8142,32,,,,,
LSTM,Tanh,Adam,25,No,0.6904,0.705,12.6,,,,,
LSTM,Tanh,Adam,25,Yes,0.6922,0.7005,12.4,,,,,
LSTM,Tanh,Adam,50,No,0.7287,0.7513,19.6,,,,,
LSTM,Tanh,Adam,50,Yes,0.7291,0.7585,19.2,,,,,
LSTM,Tanh,Adam,100,No,0.7757,0.8011,32.8,,,,,
LSTM,Tanh,Adam,100,Yes,0.8005,0.8224,32.8,,,,,
LSTM,Tanh,SGD,25,No,0.5228,0.4474,9.6,,,,,
LSTM,Tanh,SGD,25,Yes,0.5228,0.4474,9.6,,,,,
LSTM,Tanh,SGD,50,No,0.525,0.4649,16.6,,,,,
LSTM,Tanh,SGD,50,Yes,0.525,0.4649,16.6,,,,,
LSTM,Tanh,SGD,100,No,0.5158,0.2555,29.6,,,,,
LSTM,Tanh,SGD,100,Yes,0.5158,0.2555,29.8,,,,,
LSTM,Tanh,RMSProp,25,No,0.6966,0.6822,11.6,,,,,
LSTM,Tanh,RMSProp,25,Yes,0.6963,0.6819,11.8,,,,,
LSTM,Tanh,RMSProp,50,No,0.75,0.7557,18.2,,,,,
LSTM,Tanh,RMSProp,50,Yes,0.7478,0.7487,18.4,,,,,
LSTM,Tanh,RMSProp,100,No,0.8082,0.7952,31.8,,,,,
LSTM,Tanh,RMSProp,100,Yes,0.8167,0.8169,32,,,,,
Bidirectional LSTM,Sigmoid,Adam,25,No,0.7088,0.7196,16.4,,,,,
Bidirectional LSTM,Sigmoid,Adam,25,Yes,0.7088,0.7196,16.6,,,,,
Bidirectional LSTM,Sigmoid,Adam,50,No,0.7502,0.7633,26.4,,,,,
Bidirectional LSTM,Sigmoid,Adam,50,Yes,0.7502,0.7663,26.2,,,,,
Bidirectional LSTM,Sigmoid,Adam,100,No,0.796,0.8168,44.2,,,,,
Bidirectional LSTM,Sigmoid,Adam,100,Yes,0.8006,0.82,45.4,,,,,
Bidirectional LSTM,Sigmoid,SGD,25,No,0.501,0.6676,13.2,,,,,
Bidirectional LSTM,Sigmoid,SGD,25,Yes,0.501,0.6676,13.2,,,,,
Bidirectional LSTM,Sigmoid,SGD,50,No,0.501,0.6676,22.2,,,,,
Bidirectional LSTM,Sigmoid,SGD,50,Yes,0.501,0.6676,22.8,,,,,
Bidirectional LSTM,Sigmoid,SGD,100,No,0.501,0.6676,42,,,,,
Bidirectional LSTM,Sigmoid,SGD,100,Yes,0.501,0.6676,41.4,,,,,
Bidirectional LSTM,Sigmoid,RMSProp,25,No,0.501,0.6676,15,,,,,
Bidirectional LSTM,Sigmoid,RMSProp,25,Yes,0.501,0.6676,15.4,,,,,
Bidirectional LSTM,Sigmoid,RMSProp,50,No,0.501,0.6676,24.6,,,,,
Bidirectional LSTM,Sigmoid,RMSProp,50,Yes,0.501,0.6676,24.4,,,,,
Bidirectional LSTM,Sigmoid,RMSProp,100,No,0.501,0.6676,43.8,,,,,
Bidirectional LSTM,Sigmoid,RMSProp,100,Yes,0.501,0.6676,43.8,,,,,
Bidirectional LSTM,ReLU,Adam,25,No,0.6649,0.699,16.4,,,,,
Bidirectional LSTM,ReLU,Adam,25,Yes,0.693,0.7146,16.6,,,,,
Bidirectional LSTM,ReLU,Adam,50,No,0.6912,0.7286,25.8,,,,,
Bidirectional LSTM,ReLU,Adam,50,Yes,0.7472,0.7571,25.8,,,,,
Bidirectional LSTM,ReLU,Adam,100,No,0.6761,0.658,43.4,,,,,
Bidirectional LSTM,ReLU,Adam,100,Yes,0.499,0,43.4,,,,,
Bidirectional LSTM,ReLU,SGD,25,No,0.4991,0.001,12.6,,,,,
Bidirectional LSTM,ReLU,SGD,25,Yes,0.4991,0.0008,12.8,,,,,
Bidirectional LSTM,ReLU,SGD,50,No,0.499,0.0002,22,,,,,
Bidirectional LSTM,ReLU,SGD,50,Yes,0.499,0.0002,22.2,,,,,
Bidirectional LSTM,ReLU,SGD,100,No,0.5106,0.1933,41,,,,,
Bidirectional LSTM,ReLU,SGD,100,Yes,0.5106,0.1934,40.6,,,,,
Bidirectional LSTM,ReLU,RMSProp,25,No,0.7121,0.6998,14.4,,,,,
Bidirectional LSTM,ReLU,RMSProp,25,Yes,0.7114,0.6993,15,,,,,
Bidirectional LSTM,ReLU,RMSProp,50,No,0.7674,0.7568,24.2,,,,,
Bidirectional LSTM,ReLU,RMSProp,50,Yes,0.767,0.7555,24.2,,,,,
Bidirectional LSTM,ReLU,RMSProp,100,No,0.5018,0.6679,43.4,,,,,
Bidirectional LSTM,ReLU,RMSProp,100,Yes,0.501,0.6676,42.8,,,,,
Bidirectional LSTM,Tanh,Adam,25,No,0.6705,0.6909,17,,,,,
Bidirectional LSTM,Tanh,Adam,25,Yes,0.6689,0.687,17,,,,,
Bidirectional LSTM,Tanh,Adam,50,No,0.7264,0.7522,26.8,,,,,
Bidirectional LSTM,Tanh,Adam,50,Yes,0.7181,0.7505,27.8,,,,,
Bidirectional LSTM,Tanh,Adam,100,No,0.7954,0.808,49.6,,,,,
Bidirectional LSTM,Tanh,Adam,100,Yes,0.7912,0.8044,48.6,,,,,
Bidirectional LSTM,Tanh,SGD,25,No,0.5328,0.6167,13.8,,,,,
Bidirectional LSTM,Tanh,SGD,25,Yes,0.5328,0.6167,16.2,,,,,
Bidirectional LSTM,Tanh,SGD,50,No,0.5266,0.6219,22.4,,,,,
Bidirectional LSTM,Tanh,SGD,50,Yes,0.5266,0.6219,22.4,,,,,
Bidirectional LSTM,Tanh,SGD,100,No,0.5276,0.5248,41.6,,,,,
Bidirectional LSTM,Tanh,SGD,100,Yes,0.5276,0.5248,41.6,,,,,
Bidirectional LSTM,Tanh,RMSProp,25,No,0.7031,0.7077,14.8,,,,,
Bidirectional LSTM,Tanh,RMSProp,25,Yes,0.703,0.7077,15.4,,,,,
Bidirectional LSTM,Tanh,RMSProp,50,No,0.7421,0.7426,24.6,,,,,
Bidirectional LSTM,Tanh,RMSProp,50,Yes,0.7417,0.7423,24.8,,,,,
Bidirectional LSTM,Tanh,RMSProp,100,No,0.794,0.8025,43.4,,,,,
Bidirectional LSTM,Tanh,RMSProp,100,Yes,0.7945,0.7933,43.8,,,,,
